,Name,Applicants total,Admissions total,Enrolled total,Percent of freshmen submitting SAT scores,Percent of freshmen submitting ACT scores,SAT Critical Reading 25th percentile score,SAT Critical Reading 75th percentile score,SAT Math 25th percentile score,SAT Math 75th percentile score,SAT Writing 25th percentile score,SAT Writing 75th percentile score,ACT Composite 25th percentile score,ACT Composite 75th percentile score,"Estimated enrollment, total","Estimated enrollment, full time","Estimated enrollment, part time","Estimated undergraduate enrollment, total","Estimated undergraduate enrollment, full time","Estimated undergraduate enrollment, part time","Estimated freshman undergraduate enrollment, total","Estimated freshman enrollment, full time","Estimated freshman enrollment, part time","Estimated graduate enrollment, total","Estimated graduate enrollment, full time","Estimated graduate enrollment, part time",Number of students receiving an Associate's degree,Percent admitted - total,Admissions yield - total,"Tuition and fees, 2010-11","Tuition and fees, 2011-12","Tuition and fees, 2012-13","Tuition and fees, 2013-14",Total price for in-state students living on campus 2013-14,Total price for out-of-state students living on campus 2013-14,State abbreviation,FIPS state code,Geographic region,Sector of institution,Level of institution,Control of institution,Historically Black College or University,Tribal college,Degree of urbanization (Urban-centric locale),Carnegie Classification 2010: Basic,Total  enrollment,Full-time enrollment,Part-time enrollment,Undergraduate enrollment,Graduate enrollment,Full-time undergraduate enrollment,Part-time undergraduate enrollment,Percent of total enrollment that are American Indian or Alaska Native,Percent of total enrollment that are Asian,Percent of total enrollment that are Black or African American,Percent of total enrollment that are Hispanic/Latino,Percent of total enrollment that are Native Hawaiian or Other Pacific Islander,Percent of total enrollment that are White,Percent of total enrollment that are two or more races,Percent of total enrollment that are Race/ethnicity unknown,Percent of total enrollment that are Nonresident Alien,Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander,Percent of total enrollment that are women,Percent of undergraduate enrollment that are American Indian or Alaska Native,Percent of undergraduate enrollment that are Asian,Percent of undergraduate enrollment that are Black or African American,Percent of undergraduate enrollment that are Hispanic/Latino,Percent of undergraduate enrollment that are Native Hawaiian or Other Pacific Islander,Percent of undergraduate enrollment that are White,Percent of undergraduate enrollment that are two or more races,Percent of undergraduate enrollment that are Race/ethnicity unknown,Percent of undergraduate enrollment that are Nonresident Alien,Percent of undergraduate enrollment that are Asian/Native Hawaiian/Pacific Islander,Percent of undergraduate enrollment that are women,Percent of graduate enrollment that are American Indian or Alaska Native,Percent of graduate enrollment that are Asian,Percent of graduate enrollment that are Black or African American,Percent of graduate enrollment that are Hispanic/Latino,Percent of graduate enrollment that are Native Hawaiian or Other Pacific Islander,Percent of graduate enrollment that are White,Percent of graduate enrollment that are two or more races,Percent of graduate enrollment that are Race/ethnicity unknown,Percent of graduate enrollment that are Nonresident Alien,Percent of graduate enrollment that are Asian/Native Hawaiian/Pacific Islander,Percent of graduate enrollment that are women,Number of first-time undergraduates - in-state,Percent of first-time undergraduates - in-state,Number of first-time undergraduates - out-of-state,Percent of first-time undergraduates - out-of-state,Number of first-time undergraduates - foreign countries,Percent of first-time undergraduates - foreign countries,Number of first-time undergraduates - residence unknown,Percent of first-time undergraduates - residence unknown,"Graduation rate - Bachelor degree within 4 years, total","Graduation rate - Bachelor degree within 5 years, total","Graduation rate - Bachelor degree within 6 years, total",Percent of freshmen receiving any financial aid,"Percent of freshmen receiving federal, state, local or institutional grant aid",Percent of freshmen  receiving federal grant aid,Percent of freshmen receiving Pell grants,Percent of freshmen receiving other federal grant aid,Percent of freshmen receiving state/local grant aid,Percent of freshmen receiving institutional grant aid,Percent of freshmen receiving student loan aid,Percent of freshmen receiving federal student loans,Percent of freshmen receiving other loan aid,Endowment assets (year end) per FTE enrollment (GASB),Endowment assets (year end) per FTE enrollment (FASB)
143,University of Colorado Denver,3075.0,2333.0,991.0,18.0,86.0,490.0,600.0,480.0,605.0,,,20.0,26.0,19590.0,11570.0,8020.0,10678.0,7650.0,3028.0,1153.0,1055.0,98.0,8912.0,3920.0,4992.0,0.0,76.0,42.0,7214.0,7394.0,7494.0,7933.0,24555.0,38679.0,Colorado,Colorado,Rocky Mountains CO ID MT UT WY,"Public, 4-year or above",Four or more years,Public,No,No,City: Large,Research Universities (high research activity),22206.0,11800.0,10406.0,13010.0,9196.0,7782.0,5228.0,1.0,8.0,4.0,13.0,0.0,57.0,3.0,9.0,7.0,8.0,57.0,0.0,9.0,5.0,17.0,0.0,52.0,3.0,6.0,8.0,9.0,53.0,1.0,6.0,3.0,7.0,0.0,63.0,1.0,13.0,6.0,7.0,61.0,1034.0,88.0,103.0,9.0,42.0,4.0,1.0,0.0,16.0,32.0,41.0,71.0,59.0,37.0,37.0,2.0,23.0,50.0,40.0,39.0,1.0,,
144,University of Colorado Colorado Springs,7034.0,6401.0,1616.0,20.0,90.0,470.0,580.0,470.0,600.0,,,21.0,25.0,11018.0,7418.0,3600.0,9051.0,6940.0,2111.0,1616.0,1508.0,108.0,1967.0,478.0,1489.0,0.0,91.0,25.0,6029.0,6512.0,6688.0,7024.0,20424.0,31837.0,Colorado,Colorado,Rocky Mountains CO ID MT UT WY,"Public, 4-year or above",Four or more years,Public,No,No,City: Large,Master's Colleges and Universities (larger programs),11321.0,7450.0,3871.0,9220.0,2101.0,6962.0,2258.0,1.0,3.0,4.0,13.0,0.0,68.0,5.0,4.0,2.0,4.0,53.0,1.0,3.0,4.0,14.0,0.0,68.0,6.0,3.0,1.0,4.0,53.0,0.0,3.0,3.0,8.0,0.0,69.0,2.0,7.0,7.0,3.0,55.0,1399.0,86.0,195.0,12.0,15.0,1.0,9.0,1.0,26.0,42.0,46.0,76.0,55.0,29.0,29.0,6.0,16.0,37.0,50.0,49.0,4.0,,
145,University of Colorado Boulder,22473.0,19710.0,5846.0,45.0,75.0,520.0,630.0,540.0,650.0,,,24.0,29.0,31702.0,26148.0,5554.0,25981.0,23853.0,2128.0,5846.0,5782.0,64.0,5721.0,2295.0,3426.0,0.0,88.0,30.0,8511.0,9152.0,9482.0,10347.0,28887.0,50655.0,Colorado,Colorado,Rocky Mountains CO ID MT UT WY,"Public, 4-year or above",Four or more years,Public,No,No,City: Small,Research Universities (very high research activity),32017.0,26242.0,5775.0,26096.0,5921.0,23948.0,2148.0,0.0,5.0,2.0,9.0,0.0,72.0,3.0,3.0,6.0,5.0,45.0,0.0,5.0,2.0,10.0,0.0,74.0,4.0,2.0,4.0,5.0,45.0,1.0,4.0,1.0,7.0,0.0,63.0,2.0,8.0,16.0,4.0,43.0,3248.0,56.0,2298.0,39.0,290.0,5.0,4.0,0.0,44.0,66.0,70.0,59.0,40.0,17.0,17.0,3.0,8.0,39.0,38.0,36.0,5.0,,
146,Colorado Christian University,1186.0,1158.0,447.0,,,,,,,,,,,5380.0,1587.0,3793.0,4983.0,1476.0,3507.0,549.0,362.0,187.0,397.0,111.0,286.0,49.0,98.0,39.0,22040.0,22960.0,23870.0,25046.0,38130.0,38130.0,Colorado,Colorado,Rocky Mountains CO ID MT UT WY,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,City: Midsize,Master's Colleges and Universities (medium programs),5368.0,1583.0,3785.0,4973.0,395.0,1472.0,3501.0,1.0,1.0,6.0,9.0,0.0,52.0,2.0,29.0,0.0,1.0,66.0,1.0,1.0,6.0,9.0,0.0,50.0,2.0,30.0,0.0,1.0,66.0,0.0,2.0,6.0,8.0,0.0,75.0,3.0,5.0,1.0,2.0,66.0,,,,,,,,,24.0,34.0,36.0,98.0,97.0,31.0,30.0,19.0,16.0,95.0,58.0,58.0,8.0,,1145.0
147,Colorado College,5780.0,1288.0,522.0,49.0,47.0,610.0,710.0,610.0,720.0,620.0,700.0,27.0,32.0,2061.0,2044.0,17.0,2041.0,2025.0,16.0,522.0,522.0,0.0,20.0,19.0,1.0,0.0,22.0,41.0,38898.0,40050.0,41892.0,44222.0,57400.0,57400.0,Colorado,Colorado,Rocky Mountains CO ID MT UT WY,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,City: Large,Baccalaureate Colleges--Arts & Sciences,2061.0,2044.0,17.0,2041.0,20.0,2025.0,16.0,0.0,4.0,2.0,9.0,0.0,69.0,8.0,1.0,7.0,4.0,55.0,0.0,4.0,2.0,9.0,0.0,69.0,8.0,1.0,7.0,4.0,55.0,0.0,5.0,5.0,10.0,0.0,65.0,5.0,5.0,5.0,5.0,65.0,90.0,17.0,380.0,73.0,47.0,9.0,5.0,1.0,79.0,86.0,87.0,53.0,44.0,10.0,10.0,4.0,4.0,44.0,37.0,36.0,1.0,,317840.0
148,Colorado School of Mines,11682.0,4373.0,949.0,42.0,88.0,570.0,670.0,630.0,720.0,550.0,650.0,27.0,31.0,5660.0,5183.0,477.0,4294.0,4082.0,212.0,954.0,954.0,0.0,1366.0,1101.0,265.0,0.0,37.0,22.0,13425.0,14453.0,15654.0,16485.0,30603.0,46533.0,Colorado,Colorado,Rocky Mountains CO ID MT UT WY,"Public, 4-year or above",Four or more years,Public,No,No,Suburb: Large,Research Universities (high research activity),5790.0,5188.0,602.0,4291.0,1499.0,4080.0,211.0,0.0,4.0,1.0,7.0,0.0,71.0,3.0,3.0,11.0,4.0,29.0,0.0,5.0,1.0,8.0,0.0,74.0,4.0,2.0,5.0,5.0,27.0,0.0,2.0,1.0,5.0,0.0,60.0,1.0,3.0,26.0,2.0,33.0,535.0,56.0,377.0,40.0,40.0,4.0,2.0,0.0,41.0,66.0,70.0,87.0,72.0,16.0,16.0,1.0,15.0,72.0,50.0,49.0,7.0,41918.0,
149,Colorado State University-Fort Collins,17970.0,13914.0,4443.0,28.0,92.0,510.0,620.0,510.0,630.0,,,22.0,27.0,30640.0,23741.0,6899.0,23798.0,21283.0,2515.0,4443.0,4418.0,25.0,6842.0,2458.0,4384.0,0.0,77.0,32.0,6895.0,7952.0,8649.0,9313.0,23203.0,39056.0,Colorado,Colorado,Rocky Mountains CO ID MT UT WY,"Public, 4-year or above",Four or more years,Public,No,No,City: Midsize,Research Universities (very high research activity),31186.0,23371.0,7815.0,23548.0,7638.0,20400.0,3148.0,0.0,2.0,2.0,8.0,0.0,73.0,3.0,6.0,5.0,2.0,51.0,0.0,2.0,2.0,9.0,0.0,75.0,3.0,5.0,3.0,2.0,51.0,0.0,4.0,2.0,6.0,0.0,67.0,2.0,7.0,12.0,4.0,51.0,3423.0,77.0,1003.0,23.0,9.0,0.0,0.0,0.0,37.0,59.0,64.0,73.0,46.0,24.0,24.0,10.0,20.0,45.0,46.0,45.0,4.0,10399.0,
150,College America-Denver,,,,,,,,,,,,,,465.0,465.0,0.0,465.0,465.0,0.0,247.0,247.0,0.0,0.0,0.0,0.0,115.0,,,15024.0,15790.0,16154.0,17211.0,,,Colorado,Colorado,Rocky Mountains CO ID MT UT WY,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,City: Large,Baccalaureate/Associate's Colleges,497.0,497.0,0.0,497.0,0.0,497.0,0.0,1.0,3.0,20.0,33.0,0.0,42.0,1.0,0.0,0.0,3.0,78.0,1.0,3.0,20.0,33.0,0.0,42.0,1.0,0.0,0.0,3.0,78.0,,,,,,,,,,,,,,,,,,,,32.0,32.0,32.0,95.0,89.0,89.0,89.0,76.0,0.0,76.0,93.0,88.0,61.0,,
151,University of Denver,13735.0,10539.0,1413.0,44.0,70.0,540.0,660.0,560.0,660.0,520.0,630.0,25.0,30.0,11843.0,8575.0,3268.0,5561.0,5227.0,334.0,1413.0,1413.0,0.0,6282.0,3348.0,2934.0,0.0,77.0,13.0,36501.0,37833.0,39177.0,40707.0,56077.0,56077.0,Colorado,Colorado,Rocky Mountains CO ID MT UT WY,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,City: Large,Research Universities (high research activity),11778.0,8411.0,3367.0,5517.0,6261.0,5129.0,388.0,0.0,3.0,3.0,8.0,0.0,68.0,3.0,3.0,10.0,3.0,56.0,1.0,4.0,3.0,9.0,0.0,68.0,3.0,3.0,9.0,4.0,55.0,0.0,2.0,4.0,8.0,0.0,68.0,2.0,4.0,11.0,2.0,58.0,474.0,34.0,824.0,59.0,100.0,7.0,9.0,1.0,67.0,76.0,78.0,85.0,83.0,17.0,17.0,2.0,5.0,83.0,41.0,40.0,5.0,,38352.0
152,Fort Lewis College,2560.0,2240.0,876.0,23.0,87.0,470.0,570.0,475.0,580.0,,,20.0,25.0,4065.0,3698.0,367.0,4028.0,3698.0,330.0,876.0,864.0,12.0,37.0,0.0,37.0,3.0,88.0,39.0,4924.0,5592.0,6462.0,6923.0,22393.0,33233.0,Colorado,Colorado,Rocky Mountains CO ID MT UT WY,"Public, 4-year or above",Four or more years,Public,No,No,Town: Remote,Baccalaureate Colleges--Arts & Sciences,4021.0,3670.0,351.0,3984.0,37.0,3670.0,314.0,22.0,0.0,1.0,9.0,0.0,57.0,6.0,3.0,2.0,1.0,49.0,22.0,1.0,1.0,9.0,0.0,57.0,6.0,3.0,2.0,1.0,49.0,0.0,0.0,0.0,5.0,0.0,89.0,0.0,5.0,0.0,0.0,81.0,464.0,53.0,408.0,47.0,1.0,0.0,0.0,0.0,17.0,33.0,37.0,91.0,81.0,32.0,31.0,2.0,36.0,72.0,51.0,51.0,2.0,1710.0,
153,Colorado Mesa University,6459.0,5304.0,2214.0,12.0,87.0,430.0,540.0,450.0,550.0,,,18.0,23.0,9541.0,7288.0,2253.0,9440.0,7271.0,2169.0,2214.0,2091.0,123.0,101.0,17.0,84.0,200.0,82.0,42.0,6248.0,6548.0,6870.0,6725.0,19729.0,29752.0,Colorado,Colorado,Rocky Mountains CO ID MT UT WY,"Public, 4-year or above",Four or more years,Public,No,No,City: Small,Baccalaureate Colleges--Arts & Sciences,9676.0,7284.0,2392.0,9576.0,100.0,7267.0,2309.0,1.0,1.0,2.0,14.0,0.0,73.0,4.0,4.0,0.0,2.0,55.0,1.0,1.0,2.0,14.0,1.0,73.0,4.0,4.0,0.0,2.0,55.0,2.0,1.0,0.0,6.0,0.0,87.0,0.0,3.0,1.0,1.0,62.0,1907.0,86.0,293.0,13.0,6.0,0.0,2.0,0.0,13.0,29.0,33.0,90.0,71.0,43.0,43.0,1.0,36.0,27.0,65.0,65.0,4.0,2499.0,
154,Metropolitan State University of Denver,5867.0,4175.0,1991.0,3.0,86.0,460.0,590.0,470.0,610.0,,,18.0,23.0,22775.0,13526.0,9249.0,22316.0,13224.0,9092.0,2111.0,1651.0,460.0,459.0,302.0,157.0,0.0,71.0,48.0,4093.0,4834.0,5341.0,5744.0,,,Colorado,Colorado,Rocky Mountains CO ID MT UT WY,"Public, 4-year or above",Four or more years,Public,No,No,City: Large,Baccalaureate Colleges--Diverse Fields,22752.0,13508.0,9244.0,22289.0,463.0,13202.0,9087.0,1.0,3.0,6.0,20.0,0.0,61.0,3.0,4.0,0.0,4.0,54.0,1.0,3.0,6.0,21.0,0.0,61.0,3.0,4.0,0.0,4.0,54.0,0.0,3.0,4.0,12.0,0.0,76.0,3.0,2.0,0.0,3.0,76.0,2195.0,98.0,37.0,2.0,1.0,0.0,1.0,0.0,6.0,17.0,26.0,68.0,50.0,40.0,40.0,1.0,42.0,13.0,46.0,46.0,1.0,73.0,
155,Naropa University,79.0,63.0,38.0,,,,,,,,,,,992.0,800.0,192.0,383.0,359.0,24.0,38.0,38.0,0.0,609.0,441.0,168.0,0.0,80.0,60.0,25100.0,26360.0,27670.0,28790.0,43620.0,43620.0,Colorado,Colorado,Rocky Mountains CO ID MT UT WY,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,City: Small,Master's Colleges and Universities (larger programs),992.0,799.0,193.0,383.0,609.0,358.0,25.0,1.0,2.0,1.0,7.0,0.0,68.0,6.0,10.0,5.0,2.0,67.0,0.0,1.0,1.0,8.0,0.0,65.0,9.0,12.0,3.0,1.0,64.0,1.0,2.0,1.0,7.0,0.0,70.0,4.0,9.0,6.0,2.0,69.0,,,,,,,,,20.0,39.0,41.0,63.0,63.0,42.0,42.0,21.0,8.0,54.0,46.0,46.0,0.0,,6936.0
156,University of Northern Colorado,7602.0,5289.0,1939.0,13.0,91.0,450.0,570.0,450.0,570.0,,,20.0,24.0,12084.0,9708.0,2376.0,9710.0,8723.0,987.0,1976.0,1962.0,14.0,2374.0,985.0,1389.0,0.0,70.0,37.0,5997.0,6623.0,6514.0,6968.0,20264.0,31803.0,Colorado,Colorado,Rocky Mountains CO ID MT UT WY,"Public, 4-year or above",Four or more years,Public,No,No,City: Small,Doctoral/Research Universities,12710.0,9735.0,2975.0,9947.0,2763.0,8733.0,1214.0,0.0,2.0,3.0,14.0,0.0,61.0,3.0,13.0,3.0,2.0,65.0,0.0,2.0,4.0,16.0,0.0,58.0,3.0,15.0,2.0,2.0,63.0,0.0,2.0,2.0,6.0,0.0,74.0,2.0,6.0,7.0,2.0,72.0,1715.0,87.0,254.0,13.0,13.0,1.0,0.0,0.0,27.0,43.0,46.0,90.0,80.0,36.0,36.0,3.0,23.0,76.0,60.0,59.0,5.0,6428.0,
157,Regis University,3006.0,2100.0,531.0,30.0,67.0,490.0,600.0,470.0,600.0,,,21.0,26.0,9620.0,5272.0,4348.0,5197.0,2541.0,2656.0,411.0,392.0,19.0,4423.0,2731.0,1692.0,0.0,70.0,25.0,30598.0,31188.0,31800.0,32424.0,46326.0,46326.0,Colorado,Colorado,Rocky Mountains CO ID MT UT WY,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,City: Large,Master's Colleges and Universities (larger programs),9722.0,5251.0,4471.0,5172.0,4550.0,2508.0,2664.0,1.0,4.0,6.0,14.0,0.0,63.0,2.0,9.0,1.0,5.0,64.0,1.0,4.0,5.0,17.0,0.0,61.0,2.0,9.0,1.0,4.0,63.0,1.0,5.0,7.0,10.0,0.0,65.0,2.0,8.0,1.0,5.0,65.0,228.0,58.0,160.0,41.0,1.0,0.0,1.0,0.0,42.0,56.0,58.0,98.0,98.0,28.0,28.0,9.0,25.0,98.0,54.0,53.0,3.0,,5991.0
158,Colorado State University-Pueblo,3147.0,2969.0,916.0,12.0,89.0,420.0,510.0,420.0,540.0,,,18.0,23.0,4669.0,3787.0,882.0,4387.0,3667.0,720.0,790.0,763.0,27.0,282.0,120.0,162.0,0.0,94.0,31.0,5615.0,6270.0,7327.0,7327.0,20938.0,31260.0,Colorado,Colorado,Rocky Mountains CO ID MT UT WY,"Public, 4-year or above",Four or more years,Public,No,No,City: Midsize,Master's Colleges and Universities (smaller programs),7089.0,4051.0,3038.0,5207.0,1882.0,3742.0,1465.0,1.0,2.0,6.0,23.0,0.0,55.0,2.0,10.0,2.0,2.0,62.0,1.0,2.0,7.0,29.0,0.0,50.0,3.0,6.0,1.0,2.0,56.0,0.0,1.0,2.0,4.0,0.0,69.0,0.0,21.0,3.0,1.0,80.0,694.0,88.0,93.0,12.0,6.0,1.0,0.0,0.0,18.0,28.0,33.0,94.0,73.0,50.0,50.0,26.0,43.0,41.0,80.0,80.0,3.0,2072.0,
159,Western State Colorado University,1514.0,1411.0,473.0,23.0,86.0,430.0,560.0,430.0,550.0,,,19.0,24.0,2260.0,1982.0,278.0,2084.0,1858.0,226.0,472.0,469.0,3.0,176.0,124.0,52.0,0.0,93.0,34.0,4775.0,5473.0,6449.0,7343.0,20045.0,29986.0,Colorado,Colorado,Rocky Mountains CO ID MT UT WY,"Public, 4-year or above",Four or more years,Public,No,No,Town: Remote,Baccalaureate Colleges--Arts & Sciences,2404.0,1993.0,411.0,2193.0,211.0,1869.0,324.0,0.0,1.0,2.0,8.0,0.0,64.0,2.0,21.0,1.0,1.0,45.0,0.0,1.0,2.0,9.0,0.0,68.0,2.0,17.0,1.0,1.0,42.0,0.0,0.0,0.0,1.0,0.0,29.0,0.0,68.0,0.0,0.0,71.0,335.0,71.0,134.0,29.0,0.0,0.0,0.0,0.0,23.0,40.0,42.0,91.0,85.0,31.0,31.0,12.0,24.0,66.0,33.0,33.0,5.0,,
160,Albertus Magnus College,689.0,470.0,132.0,95.0,0.0,380.0,480.0,320.0,480.0,410.0,470.0,,,1582.0,1469.0,113.0,1278.0,1199.0,79.0,151.0,145.0,6.0,304.0,270.0,34.0,82.0,68.0,28.0,24374.0,26294.0,28358.0,28378.0,47302.0,47302.0,Connecticut,Connecticut,New England CT ME MA NH RI VT,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,City: Midsize,Master's Colleges and Universities (larger programs),1582.0,1469.0,113.0,1278.0,304.0,1199.0,79.0,0.0,1.0,27.0,12.0,0.0,45.0,1.0,13.0,0.0,1.0,67.0,0.0,1.0,28.0,14.0,0.0,45.0,1.0,11.0,0.0,1.0,65.0,1.0,0.0,23.0,6.0,0.0,48.0,0.0,23.0,0.0,0.0,75.0,122.0,85.0,21.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,43.0,83.0,83.0,43.0,43.0,27.0,54.0,83.0,78.0,78.0,19.0,,2997.0
161,University of Bridgeport,5248.0,3351.0,542.0,91.0,9.0,410.0,500.0,420.0,510.0,410.0,500.0,18.0,22.0,4842.0,3159.0,1683.0,2835.0,2035.0,800.0,542.0,538.0,4.0,2007.0,1124.0,883.0,78.0,64.0,16.0,26370.0,27330.0,28140.0,29090.0,50043.0,50043.0,Connecticut,Connecticut,New England CT ME MA NH RI VT,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,City: Midsize,Master's Colleges and Universities (larger programs),4842.0,3159.0,1683.0,2835.0,2007.0,2035.0,800.0,1.0,3.0,24.0,13.0,0.0,35.0,2.0,0.0,22.0,4.0,62.0,1.0,3.0,35.0,18.0,0.0,27.0,2.0,0.0,14.0,3.0,66.0,0.0,4.0,9.0,5.0,0.0,47.0,2.0,0.0,33.0,4.0,57.0,205.0,38.0,284.0,52.0,52.0,10.0,1.0,0.0,19.0,25.0,27.0,93.0,93.0,60.0,60.0,32.0,33.0,93.0,81.0,81.0,7.0,,6939.0
162,Central Connecticut State University,5551.0,3560.0,1293.0,97.0,3.0,450.0,540.0,460.0,560.0,450.0,550.0,19.0,25.0,11865.0,8208.0,3657.0,9771.0,7624.0,2147.0,1293.0,1278.0,15.0,2094.0,584.0,1510.0,0.0,64.0,36.0,7861.0,8055.0,8321.0,8706.0,23197.0,34702.0,Connecticut,Connecticut,New England CT ME MA NH RI VT,"Public, 4-year or above",Four or more years,Public,No,No,Suburb: Large,Master's Colleges and Universities (larger programs),11865.0,8208.0,3657.0,9771.0,2094.0,7624.0,2147.0,0.0,3.0,10.0,10.0,0.0,69.0,2.0,3.0,1.0,4.0,51.0,0.0,3.0,11.0,11.0,0.0,68.0,2.0,3.0,1.0,4.0,48.0,0.0,3.0,8.0,5.0,0.0,75.0,1.0,4.0,3.0,3.0,66.0,1201.0,93.0,76.0,6.0,16.0,1.0,0.0,0.0,20.0,45.0,52.0,84.0,69.0,34.0,34.0,21.0,37.0,60.0,67.0,66.0,6.0,4351.0,
163,Charter Oak State College,,,,,,,,,,,,,,1397.0,280.0,1117.0,1397.0,280.0,1117.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,,,,,,,,,Connecticut,Connecticut,New England CT ME MA NH RI VT,"Public, 4-year or above",Four or more years,Public,No,No,Suburb: Large,Baccalaureate Colleges--Arts & Sciences,1580.0,301.0,1279.0,1580.0,0.0,301.0,1279.0,0.0,2.0,16.0,11.0,0.0,60.0,1.0,9.0,1.0,2.0,66.0,0.0,2.0,16.0,11.0,0.0,60.0,1.0,9.0,1.0,2.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1591.0,
164,Connecticut College,4837.0,1734.0,503.0,,,,,,,,,,,1922.0,1881.0,41.0,1915.0,1877.0,38.0,489.0,489.0,0.0,7.0,4.0,3.0,0.0,36.0,29.0,43990.0,43990.0,44890.0,46085.0,60780.0,60780.0,Connecticut,Connecticut,New England CT ME MA NH RI VT,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,City: Small,Baccalaureate Colleges--Arts & Sciences,1922.0,1881.0,41.0,1915.0,7.0,1877.0,38.0,0.0,3.0,4.0,9.0,0.0,70.0,3.0,6.0,5.0,3.0,61.0,0.0,3.0,4.0,9.0,0.0,70.0,3.0,6.0,5.0,3.0,61.0,0.0,0.0,14.0,0.0,0.0,71.0,0.0,14.0,0.0,0.0,43.0,75.0,15.0,376.0,77.0,38.0,8.0,0.0,0.0,79.0,83.0,84.0,53.0,44.0,12.0,12.0,12.0,10.0,44.0,37.0,36.0,3.0,,114620.0
165,University of Connecticut,27479.0,14745.0,3755.0,91.0,27.0,550.0,650.0,580.0,680.0,,,25.0,30.0,25369.0,21942.0,3427.0,18032.0,17219.0,813.0,3755.0,3741.0,14.0,7337.0,4723.0,2614.0,24.0,54.0,25.0,10416.0,10670.0,11242.0,12022.0,27244.0,46192.0,Connecticut,Connecticut,New England CT ME MA NH RI VT,"Public, 4-year or above",Four or more years,Public,No,No,Suburb: Large,Research Universities (very high research activity),25911.0,22482.0,3429.0,18032.0,7879.0,17219.0,813.0,0.0,8.0,5.0,7.0,0.0,61.0,2.0,8.0,9.0,8.0,50.0,0.0,9.0,5.0,8.0,0.0,63.0,3.0,8.0,4.0,9.0,49.0,0.0,6.0,5.0,5.0,0.0,55.0,1.0,8.0,20.0,7.0,52.0,2614.0,70.0,1055.0,28.0,86.0,2.0,0.0,0.0,68.0,81.0,83.0,77.0,63.0,18.0,18.0,2.0,17.0,62.0,49.0,48.0,5.0,13387.0,
166,Eastern Connecticut State University,5112.0,3299.0,985.0,94.0,13.0,460.0,550.0,470.0,550.0,470.0,560.0,20.0,24.0,5368.0,4462.0,906.0,5179.0,4395.0,784.0,985.0,963.0,22.0,189.0,67.0,122.0,8.0,65.0,30.0,8350.0,8555.0,8911.0,9376.0,24394.0,35899.0,Connecticut,Connecticut,New England CT ME MA NH RI VT,"Public, 4-year or above",Four or more years,Public,No,No,Town: Fringe,Master's Colleges and Universities (smaller programs),5368.0,4462.0,906.0,5179.0,189.0,4395.0,784.0,0.0,2.0,6.0,8.0,0.0,71.0,2.0,8.0,1.0,3.0,54.0,0.0,3.0,6.0,9.0,0.0,70.0,2.0,8.0,1.0,3.0,54.0,1.0,1.0,2.0,5.0,1.0,84.0,2.0,4.0,1.0,2.0,75.0,912.0,93.0,65.0,7.0,8.0,1.0,0.0,0.0,32.0,48.0,51.0,82.0,57.0,26.0,26.0,10.0,31.0,48.0,72.0,72.0,10.0,2472.0,
167,Fairfield University,9254.0,6585.0,990.0,,,,,,,,,,,4919.0,3930.0,989.0,3873.0,3546.0,327.0,963.0,963.0,0.0,1046.0,384.0,662.0,3.0,71.0,15.0,39040.0,40580.0,41690.0,42920.0,58730.0,58730.0,Connecticut,Connecticut,New England CT ME MA NH RI VT,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,Suburb: Large,Master's Colleges and Universities (larger programs),4919.0,3930.0,989.0,3873.0,1046.0,3546.0,327.0,0.0,2.0,2.0,7.0,0.0,62.0,1.0,23.0,4.0,2.0,61.0,0.0,2.0,3.0,8.0,0.0,70.0,1.0,15.0,2.0,2.0,60.0,0.0,1.0,1.0,3.0,0.0,31.0,0.0,53.0,10.0,1.0,68.0,231.0,24.0,715.0,74.0,16.0,2.0,1.0,0.0,79.0,81.0,82.0,89.0,85.0,13.0,13.0,5.0,8.0,85.0,56.0,55.0,10.0,,57869.0
